,open,open,open,open,open,high,high,high,high,high,low,low,low,low,low,close,close,close,close,close,adj_close,adj_close,adj_close,adj_close,adj_close,volume,volume,volume,volume,volume
,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
ticker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADA-USD,0.5002,0.3638,0.5092,0.024,2.9664,0.5196,0.3728,0.5309,0.026,3.0992,0.4797,0.3512,0.4862,0.0191,2.9076,0.5003,0.3638,0.5092,0.024,2.9682,0.5003,0.3638,0.5092,0.024,2.9682,988166864.4966,399757771.0,1695965044.9436,2930550,19141980288
AVAX-USD,29.0117,21.7973,22.9674,2.9053,134.8656,30.3446,22.608,24.2123,2.9399,146.2179,27.7199,20.8696,21.7981,2.7888,126.1926,29.0167,21.797,22.9753,2.9062,134.531,29.0167,21.797,22.9753,2.9062,134.531,517285934.1976,360787956.0,507532801.0517,3957,3379295976
BNB-USD,297.5001,270.9587,281.7567,1.5114,1310.2277,304.5615,277.3817,287.9252,1.5827,1370.546,289.9791,264.0281,275.1035,1.4626,1270.3103,297.691,271.2466,281.7556,1.5104,1310.2144,297.691,271.2466,281.7556,1.5104,1310.2144,1233840498.0627,750638729.0,1404376272.9847,9284,17982945189
BTC-USD,28401.6639,11679.5063,32209.1214,176.897,124752.1406,28970.1224,11933.8062,32754.5802,211.731,126198.0703,27794.8348,11335.7383,31617.3266,171.51,123196.0469,28417.7304,11681.3228,32212.0989,178.103,124752.5312,28417.7304,11681.3228,32212.0989,178.103,124752.5312,22597429784.283,18181070890.5,23053722060.2267,7860650,350967941479
DOGE-USD,0.0938,0.0715,0.102,0.001,0.6878,0.098,0.0733,0.1082,0.0012,0.7376,0.0897,0.0698,0.096,0.001,0.6082,0.0938,0.0715,0.102,0.001,0.6848,0.0938,0.0715,0.102,0.001,0.6848,1272294732.2154,408786249.0,3161982541.4864,1431720,69410680685
ETH-USD,1702.6901,1667.8345,1289.576,84.2797,4831.0884,1748.8099,1714.2856,1322.9053,85.3427,4953.7329,1652.1876,1635.9674,1252.8098,82.8299,4718.0391,1703.1202,1667.9438,1289.1488,84.3083,4831.3486,1703.1202,1667.9438,1289.1488,84.3083,4831.3486,15151239830.6542,12356528860.0,12360891843.0216,621732992,97736621123
LINK-USD,10.7014,8.5821,9.0366,0.1474,52.2477,11.1278,8.8711,9.4613,0.1663,52.8761,10.2461,8.1782,8.557,0.138,46.7292,10.7038,8.5989,9.0344,0.1453,52.1987,10.7038,8.5989,9.0344,0.1453,52.1987,665200503.9586,357573357.0,3174555212.3929,398773,170549323809
SOL-USD,86.8728,72.3532,73.2722,0.5134,261.8724,90.0701,75.7803,75.6744,0.5598,294.335,83.6624,68.2259,70.7315,0.5052,253.1874,86.8982,72.4562,73.2291,0.5153,261.8698,86.8982,72.4562,73.2291,0.5153,261.8698,2345735821.0125,1584441360.0,2716224732.9103,652020,33172955667
TRX-USD,0.0952,0.0658,0.0893,0.0018,0.4261,0.0974,0.067,0.0906,0.002,0.4407,0.093,0.0643,0.0881,0.0017,0.3613,0.0953,0.0658,0.0894,0.0018,0.426,0.0953,0.0658,0.0894,0.0018,0.426,819240239.264,548888124.0,988187504.5674,1748460,13973157818
XRP-USD,0.8107,0.5168,0.7456,0.1405,3.5556,0.839,0.5273,0.7725,0.1469,3.8419,0.781,0.502,0.7185,0.1151,3.4308,0.8111,0.5171,0.7456,0.1396,3.5558,0.8111,0.5171,0.7456,0.1396,3.5558,2883432012.7458,1626378642.0,3870717851.8981,100294000,51723383809
